City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,chemax,20.65,-87.9333,31.9,43,26,3.15,MX,1669748218
271,kurumkan,54.3,110.3,-26.46,87,26,2.03,RU,1669748219
272,viedma,-40.8135,-62.9967,27.31,21,79,5.73,AR,1669748141
273,canutama,-6.5339,-64.3831,31.04,60,100,1.08,BR,1669748221
274,carutapera,-1.195,-46.02,28.84,65,100,3.25,BR,1669748221
275,paka,4.6374,103.4368,24.99,100,68,0.0,MY,1669748222
276,puerto ayacucho,5.6639,-67.6236,27.19,79,100,3.36,VE,1669748223
277,igarka,67.4667,86.5833,-19.14,99,96,2.76,RU,1669748225
278,kirakira,-10.4544,161.9205,26.08,84,92,0.82,SB,1669748226
279,sao sebastiao,-23.76,-45.4097,22.59,95,100,0.7,BR,1669747850
280,terney,45.0503,136.6092,-11.74,70,99,4.67,RU,1669748227
281,amli,20.2833,73.0167,21.23,54,5,1.39,IN,1669748227
282,saint-philippe,-21.3585,55.7679,24.77,80,96,2.42,RE,1669748023
283,hithadhoo,-0.6,73.0833,27.6,73,96,4.1,MV,1669748229
284,polunochnoye,60.8697,60.4153,-12.78,99,97,0.64,RU,1669748229
285,yarkovo,57.4028,67.0786,-16.09,83,100,2.73,RU,1669748230
286,mogadishu,2.0371,45.3438,26.91,78,6,7.8,SO,1669747963
287,verkhnyaya inta,65.9811,60.3094,-12.13,95,100,2.1,RU,1669748231
288,half moon bay,37.4636,-122.4286,13.84,56,0,2.06,US,1669748142
289,pahrump,36.2083,-115.9839,11.84,31,0,3.58,US,1669748037
290,haines junction,60.7522,-137.5108,-18.03,55,62,2.57,CA,1669748233
291,zabol,32.25,67.25,6.42,39,0,3.48,AF,1669748233
292,bembereke,10.2283,2.6634,25.25,23,63,0.75,BJ,1669748234
293,tanout,14.9709,8.8879,21.06,20,11,4.62,NE,1669748234
294,mangai,-4.05,19.5333,19.75,100,100,1.06,CD,1669748235
295,kushiro,42.975,144.3747,5.99,80,100,6.29,JP,1669748236
296,carballo,43.213,-8.691,13.34,84,100,1.99,ES,1669748236
297,morondava,-20.2833,44.2833,27.32,69,100,6.94,MG,1669748237
298,cidreira,-30.1811,-50.2056,22.91,80,14,6.74,BR,1669748237
299,vostok,46.4856,135.8833,-18.95,94,100,5.48,RU,1669747943
300,okha,53.5739,142.9478,-4.16,90,100,15.25,RU,1669748025
301,tougan,13.0667,-3.0667,27.32,16,14,3.56,BF,1669748111
302,santander,43.4647,-3.8044,11.92,90,40,3.09,ES,1669748239
303,broome,42.2506,-75.833,6.72,69,99,0.89,US,1669748239
304,havelock,34.8791,-76.9013,19.41,66,0,1.79,US,1669748240
305,andijon,40.7821,72.3442,7.6,81,97,0.31,UZ,1669748241
306,odweyne,9.4092,45.064,19.14,41,2,5.72,SO,1669748241
307,brilon,51.4,8.5833,6.07,94,100,1.29,DE,1669748242
308,yulara,-25.2406,130.9889,19.28,31,0,4.44,AU,1669748242
309,fort-shevchenko,44.5086,50.263,1.4,48,0,7.5,KZ,1669748243
310,mikuni,36.2171,136.1519,13.95,88,100,5.61,JP,1669748244
311,valentin gomez farias,28.2167,-106.5833,21.32,14,3,10.07,MX,1669748244
312,sao joao da barra,-21.6403,-41.0511,25.05,89,100,8.5,BR,1669748245
313,camacha,33.0833,-16.3333,16.68,59,75,1.54,PT,1669748245
314,buarcos,40.166,-8.8768,11.19,79,100,1.18,PT,1669748246
315,bayji,34.9311,43.487,18.91,45,100,3.58,IQ,1669748247
316,formosa,-26.1775,-58.1781,32.99,43,20,5.14,AR,1669748222
317,mahanoro,-19.9,48.8,23.51,87,9,3.93,MG,1669748248
318,deputatskiy,69.3,139.9,-28.45,99,100,0.97,RU,1669748249
319,havoysund,70.9963,24.6622,2.13,82,100,6.31,NO,1669748249
320,rio gallegos,-51.6226,-69.2181,14.03,26,40,15.43,AR,1669748250
321,batsfjord,70.6345,29.7185,1.96,86,75,10.8,NO,1669748250
322,chuguyevka,44.1653,133.8633,-13.88,91,100,4.59,RU,1669748251
323,robertsport,6.7533,-11.3686,26.62,75,80,2.38,LR,1669748251
324,kavaratti,10.5669,72.642,27.61,69,93,0.61,IN,1669748252
325,gigmoto,13.7796,124.39,27.23,83,47,4.43,PH,1669748252
326,quchan,37.106,58.5095,5.3,72,8,1.31,IR,1669748253
327,constitucion,-35.3333,-72.4167,18.53,63,22,5.87,CL,1669748254
328,paita,-5.0892,-81.1144,22.39,75,25,6.81,PE,1669748254
329,vuktyl,63.8567,57.3094,-16.98,99,100,1.57,RU,1669748255
330,namibe,-15.1961,12.1522,20.97,84,96,4.43,AO,1669748066
331,banepa,27.6298,85.5214,10.18,93,20,1.03,NP,1669748256
332,qasigiannguit,68.8193,-51.1922,-11.96,79,23,3.31,GL,1669748256
333,manzhouli,49.6,117.4333,-23.36,94,52,6.66,CN,1669748257
334,faya,18.3851,42.4509,14.06,66,0,0.9,SA,1669748257
335,leshukonskoye,64.8989,45.7622,-2.88,97,99,2.55,RU,1669748258
336,flin flon,54.7682,-101.865,-15.09,72,100,8.75,CA,1669748170
337,cayenne,4.9333,-52.3333,24.02,94,75,1.54,GF,1669748207
338,san quintin,30.4833,-115.95,17.09,56,0,5.35,MX,1669748259
339,abnub,27.2696,31.1511,19.12,42,0,2.06,EG,1669748260
340,makhachkala,42.9764,47.5024,5.01,67,71,3.13,RU,1669748217
341,balaipungut,1.05,101.2833,23.14,98,55,0.35,ID,1669748261
342,kasane,-17.8167,25.15,21.97,62,12,2.35,BW,1669748261
343,tazovskiy,67.4667,78.7,-16.72,98,95,2.43,RU,1669748262
344,manono,-7.3,27.4167,20.64,94,100,0.67,CD,1669748262
345,saint-pierre,-21.3393,55.4781,24.82,69,100,1.03,RE,1669748263
346,kiama,-34.6833,150.8667,15.0,85,10,0.45,AU,1669748263
347,cabedelo,-6.9811,-34.8339,29.37,67,100,5.89,BR,1669748264
348,katobu,-4.9408,122.5276,23.8,97,100,1.32,ID,1669748264
349,yerbogachen,61.2767,108.0108,-29.91,99,100,1.8,RU,1669748265
350,coffs harbour,-30.3,153.1333,17.98,82,100,4.12,AU,1669748088
351,tuatapere,-46.1333,167.6833,11.62,92,100,1.24,NZ,1669748266
352,sitka,57.0531,-135.33,-4.65,47,82,4.26,US,1669748267
353,tera,14.0078,0.7531,27.0,13,9,2.65,NE,1669748267
354,bouza,14.4229,6.0428,23.06,19,11,3.52,NE,1669748268
355,vila do maio,15.1333,-23.2167,26.44,69,1,6.76,CV,1669748268
356,price,39.5994,-110.8107,-2.16,35,1,7.16,US,1669748269
357,petropavlovsk-kamchatskiy,53.0452,158.6483,-10.67,79,75,3.0,RU,1669748269
358,alice springs,-23.7,133.8833,13.75,67,0,0.0,AU,1669748270
359,moscow,55.7522,37.6156,-9.23,95,54,1.78,RU,1669748026
360,eloi mendes,-21.61,-45.5653,19.09,89,91,1.93,BR,1669748271
361,hammerfest,70.6634,23.6821,2.25,80,75,1.54,NO,1669748157
362,saveh,35.0213,50.3566,11.52,41,99,0.58,IR,1669748271
363,casper,42.8666,-106.3131,-8.49,77,0,2.06,US,1669748107
364,pangnirtung,66.1451,-65.7125,-17.0,85,100,4.63,CA,1669748272
365,vardo,70.3705,31.1107,1.99,75,100,8.75,NO,1669748273
